PostalCode,Duration,Longitude,Latitude
00100,31,24.933726592107977,60.16998889925918
00120,42,24.93920178116896,60.163562199055576
00130,44,24.94754650786977,60.16500876860636
00140,52,24.952424722642586,60.15812240008611
00150,44,24.93801425202423,60.15893870369026
00160,52,24.96506337029035,60.167097954802465
00170,42,24.95532065092989,60.1718656775509
00180,29,24.917557476920162,60.16357635188766
00190,72,24.986393603089212,60.145249151628164
00200,31,24.873341062169633,60.160601661276075
00210,39,24.88335458969218,60.15128650921939
00220,40,24.917380588244363,60.15743285441223
00230,29,24.878158422268253,60.20076253353783
00240,40,24.923992031987268,60.20269213679467
00250,35,24.916221973912936,60.18683337711419
00260,41,24.92423664778432,60.18001384266412
00270,29,24.902373547074117,60.19386705383233
00280,46,24.901807474896522,60.204087384099225
00290,28,24.906206529823386,60.18937225187652
00300,39,24.89705207154459,60.20238733823784
00320,33,24.895793017880006,60.21601756834189
00330,26,24.876126296424953,60.19756973178317
00340,16,24.856461896812775,60.18357024240725
00350,28,24.871191557072155,60.20579911214562
00360,35,24.852485666666666,60.2169276
00370,23,24.85372468522199,60.22484679195132
00380,27,24.873750346831766,60.217110684279916
00390,39,24.848278942098023,60.24034716971472
00400,43,24.89724296814303,60.22703049426013
00440,36,24.879275220713197,60.23132036842128
00500,38,24.96116995971469,60.18820652466921
00510,41,24.950831546235857,60.19173181842021
00410,43,24.85819227724346,60.24852423870151
00420,43,24.88137234912742,60.2415848228034
00430,57,24.89229084501479,60.256527001832026
00600,46,24.962812257577788,60.21969214059854
00520,64,25.031593991563152,60.22225739049188
00530,39,24.952255988401745,60.18167588653024
00540,42,24.97898294965141,60.18357142648648
00550,49,24.959498075352265,60.19655606966452
00560,53,24.973446299894295,60.20791615690638
00570,48,25.00259244128234,60.18444094537334
00580,40,24.97670141046771,60.189562018861785
00590,63,25.024391955422498,60.174520056364905
00610,45,24.94669881608073,60.21113698116402
00620,43,24.940436820013304,60.221954742299495
00630,42,24.925765764290674,60.232297782401396
00640,47,24.965476444948873,60.2321442131851
00650,53,24.974643492634733,60.222825377609496
00660,43,24.928066965559648,60.24026015607428
00670,54,24.923446734013748,60.250430450078
00680,49,24.95488236596319,60.24336681573542
00690,53,24.955554393127958,60.2602694026978
00700,55,25.01804569094899,60.24946301194921
00710,59,25.007960910349126,60.234588776827565
00720,50,24.98826106666305,60.24293526585241
00730,69,25.0167120922585,60.26916758552139
00800,49,25.039595360376712,60.204755306553125
00740,69,25.00096723428628,60.27430374196899
