12f7 -- 9. Kaikki tietoryhmät;;;;;;;
;;;;;;;
Postinumeroalue;Postinumeroalueen pinta-ala;Asukkaat yhteensä, 2018 (HE);Asukkaiden keskitulot, 2017 (HR);Asukkaiden mediaanitulot, 2017 (HR);Asumisväljyys, 2018 (TE);Taloudet yhteensä, 2017 (TR);Työttömät, 2017 (PT)
00910  Puotila (Helsinki);1118992;5849;22933;21403;32.3;3445;428
00920  Myllypuro (Helsinki);3573373;13756;24233;22284;33.5;6206;770
00930  Itäkeskus-Marjaniemi (Helsinki);2034415;6794;27872;21315;38.7;3296;510
00940  Kontula - Vesala (Helsinki);5776813;26010;20689;19611;32.2;12957;2211
00950  Vartioharju (Helsinki);3135342;6060;30941;26512;37.9;2527;256
00960  Pohjois-Vuosaari (Helsinki);2504021;7192;23941;22356;33.7;3816;469
00970  Mellunmäki (Helsinki);3453709;10637;22405;21382;34.4;5601;785
00980  Etelä-Vuosaari (Helsinki);10710384;23183;23045;21143;33.0;11381;1862
00990  Aurinkolahti (Helsinki);2565419;8587;28655;25165;34.4;4341;411
01120  Västerskog (Sipoo);24817052;1412;32181;25573;49.5;564;48
01150  Söderkulla (Sipoo);48724858;5900;32837;27286;43.0;2371;188
01180  Kalkkiranta (Porvoo);16962601;455;32965;25919;52.5;192;7
01190  Box (Sipoo);32270791;1026;27741;25588;47.3;406;24
01200  Hakunila (Vantaa);19506779;12195;22534;21162;32.7;5791;929
01230  Vaarala (Vantaa);3386757;2971;27082;25768;36.5;1327;128
01260  Itä-Hakkila (Vantaa);8277506;4870;30414;26412;38.7;1853;143
01280  Länsimäki (Vantaa);3479420;9699;24065;22890;33.7;4581;583
01300  Tikkurila (Vantaa);6007207;20713;26046;23668;35.3;10404;951
01340  Leinelä (Vantaa);230648;2095;23389;22504;31.5;966;69
01350  Hiekkaharju (Vantaa);2811048;10261;25315;23402;34.5;5187;581
01360  Koivukylä-Havukoski (Vantaa);5764302;12037;21757;20212;33.6;6304;865
01370  Jokiniemi (Vantaa);3261820;6605;23295;22316;31.5;3336;379
01380  Kuusikko-Hakkila (Vantaa);4403607;1950;29266;26947;37.3;724;75
01390  Ruskeasanta-Ilola (Vantaa);7098930;9159;29616;26738;36.7;3607;291
01400  Rekola (Vantaa);5729266;8917;26414;24035;35.6;3714;429
01420  Päiväkumpu (Vantaa);3919259;3219;29281;26795;39.0;1122;111
01450  Korso (Vantaa);14317811;18193;25204;23640;36.1;8366;956
01480  Mikkola (Vantaa);2913621;6382;24260;22882;35.6;3025;370
01490  Nikinmäki (Vantaa);6211953;4314;30996;28685;40.0;1473;115
01510  Kirkonkylä-Veromäki (Vantaa);7660748;6395;26620;24875;30.5;2910;364
01520  Tammisto (Vantaa);2019024;7758;29800;27693;30.6;3436;289
01530  Veromiehenkylä (Vantaa);17319257;627;20914;21428;28.9;233;50
01600  Myyrmäki (Vantaa);2774549;17467;23153;22075;33.8;9459;982
01610  Kaivoksela (Vantaa);2775026;5326;25361;23863;34.5;2891;296
01620  Martinlaakso (Vantaa);3185037;12462;24172;22544;34.4;6115;719
01630  Hämeenkylä (Vantaa);2645689;2073;31671;27762;37.4;852;58
01640  Hämevaara (Vantaa);3107721;3424;32328;25673;37.8;1579;168
01650  Vapaala (Vantaa);2132777;4088;28881;25287;39.6;1914;203
01660  Varisto (Vantaa);1007947;2317;26204;24143;37.2;1045;125
01670  Vantaanlaakso (Vantaa);2287549;2844;30070;27586;37.7;1215;88
01680  Askisto (Vantaa);6601075;2078;30767;27299;39.6;794;68
01690  Ylästö (Vantaa);6045929;4820;34634;30719;36.6;1648;111
01700  Kivistö (Vantaa);4607968;8085;29348;25749;34.1;3319;257
01710  Pähkinärinne (Vantaa);1234759;5092;24458;23369;34.7;2785;314
01720  Petikko (Vantaa);4257140;62;22230;22546;34.2;34;2
01730  Vantaanpuisto (Vantaa);14628562;2636;27876;25888;38.4;1082;83
01740  Tuupakan teollisuusalue (Vantaa);8136713;201;27710;25381;51.1;85;8
01750  Keimola (Vantaa);22646757;844;29915;27550;45.4;312;38
01760  Seutula (Vantaa);33019746;2051;27547;24841;40.7;836;64
01770  Martinlaakson teollisuusalue (Vantaa);188347;0;0;0;0.0;0;0
01800  Klaukkala Keskus (Nurmijärvi);21366979;9076;28283;25158;39.1;3833;285
01810  Luhtajoki (Nurmijärvi);13982284;683;29152;26546;45.0;248;18
01820  Haikala (Nurmijärvi);5424586;3336;30089;28071;39.7;1295;87
01830  Lepsämä (Nurmijärvi);35127329;2419;29978;26243;44.8;848;62
01840  Klaukkala (Nurmijärvi);8744819;3991;31807;28752;41.5;1517;107
